"bibjson.end_page","bibjson.year","bibjson.journal.volume","bibjson.journal.number","bibjson.month","bibjson.start_page","id","_version_","last_updated","bibjson.identifier.id","bibjson.identifier.type","bibjson.keywords","bibjson.subject.code","bibjson.subject.scheme","bibjson.subject.term","bibjson.author.name","bibjson.link.content_type","bibjson.link.type","bibjson.link.url","bibjson.abstract","bibjson.title","bibjson.journal.country","bibjson.journal.license.open_access","bibjson.journal.license.title","bibjson.journal.license.type","bibjson.journal.license.url","bibjson.journal.issns","bibjson.journal.publisher","bibjson.journal.language","bibjson.journal.title","created_date","bibjson.author.affiliation","admin.seal","bibjson.author.orcid_id"
,2019,"15","3","3","e1006930","79b2797f7d8a400dbd13bc4c6e62064e",1669319895258497020,"2020-03-12T07:24:55","1553-734X","pissn",,"QH301-705.5","LCC","Biology (General)","Finlay Campbell",,"fulltext","https://doi.org/10.1371/journal.pcbi.1006930","There exists significant interest in developing statistical and computational tools for inferring 'who infected whom' in an infectious disease outbreak from densely sampled case data, with most recent studies focusing on the analysis of whole genome sequence data. However, genomic data can be poorly informative of transmission events if mutations accumulate too slowly to resolve individual transmission pairs or if there exist multiple pathogens lineages within-host, and there has been little focus on incorporating other types of outbreak data. We present here a methodology that uses contact data for the inference of transmission trees in a statistically rigorous manner, alongside genomic data and temporal data. Contact data is frequently collected in outbreaks of pathogens spread by close contact, including Ebola virus (EBOV), severe acute respiratory syndrome coronavirus (SARS-CoV) and Mycobacterium tuberculosis (TB), and routinely used to reconstruct transmission chains. As an improvement over previous, ad-hoc approaches, we developed a probabilistic model that relates a set of contact data to an underlying transmission tree and integrated this in the outbreaker2 inference framework. By analyzing simulated outbreaks under various contact tracing scenarios, we demonstrate that contact data significantly improves our ability to reconstruct transmission trees, even under realistic limitations on the coverage of the contact tracing effort and the amount of non-infectious mixing between cases. Indeed, contact data is equally or more informative than fully sampled whole genome sequence data in certain scenarios. We then use our method to analyze the early stages of the 2003 SARS outbreak in Singapore and describe the range of transmission scenarios consistent with contact data and genetic sequence in a probabilistic manner for the first time. This simple yet flexible model can easily be incorporated into existing tools for outbreak reconstruction and should permit a better integration of genomic and epidemiological data for inferring transmission chains.","Bayesian inference of transmission chains using timing of symptoms, pathogen genomes and contact data.","US",1,"CC BY","CC BY","http://journals.plos.org/ploscompbiol/s/content-license","1553-734X","Public Library of Science (PLoS)","EN","PLoS Computational Biology","2019-09-27T05:31:05",,1,
"140",2020,"6","1","3","132","df712831337c4ca6b9c351e0f42b046d",1669319716408131580,"2020-03-03T08:51:44","1989-1660","pissn","data mining","T","LCC","Technology","Simon James Fong","pdf","fulltext","http://www.ijimai.org/journal/node/3841","Epidemic is a rapid and wide spread of infectious disease threatening many lives and economy damages. It is important to fore-tell the epidemic lifetime so to decide on timely and remedic actions. These measures include closing borders, schools, suspending community services and commuters. Resuming such curfews depends on the momentum of the outbreak and its rate of decay. Being able to accurately forecast the fate of an epidemic is an extremely important but difficult task. Due to limited knowledge of the novel disease, the high uncertainty involved and the complex societal-political factors that influence the widespread of the new virus, any forecast is anything but reliable. Another factor is the insufficient amount of available data. Data samples are often scarce when an epidemic just started. With only few training samples on hand, finding a forecasting model which offers forecast at the best efforts is a big challenge in machine learning. In the past, three popular methods have been proposed, they include 1) augmenting the existing little data, 2) using a panel selection to pick the best forecasting model from several models, and 3) fine-tuning the parameters of an individual forecasting model for the highest possible accuracy. In this paper, a methodology that embraces these three virtues of data mining from a small dataset is proposed. An experiment that is based on the recent coronavirus outbreak originated from Wuhan is conducted by applying this methodology. It is shown that an optimized forecasting model that is constructed from a new algorithm, namely polynomial neural network with corrective feedback (PNN+cf) is able to make a forecast that has relatively the lowest prediction error. The results showcase that the newly proposed methodology and PNN+cf are useful in generating acceptable forecast upon the critical time of disease outbreak when the samples are far from abundant.","Finding an Accurate Early Forecasting Model from Small Dataset: A Case of 2019-nCoV Novel Coronavirus Outbreak","ES",1,"CC BY","CC BY","http://www.ijimai.org/journal/policies#20","1989-1660","Universidad Internacional de La Rioja (UNIR)","EN","International Journal of Interactive Multimedia and Artificial Intelligence","2020-03-03T08:51:44",,,
"13",2020,"7","1","5","1","bf98b132b92c44f6925700031e821bae",1669376523112546300,"2020-05-17T11:19:16","10.1186/s40779-020-00254-8","doi","COVID-19","R5-920","LCC","Medicine (General)","Ying-Hui Jin","HTML","fulltext","http://link.springer.com/article/10.1186/s40779-020-00254-8","Abstract Background Many healthcare workers were infected by coronavirus disease 2019 (COVID-19) early in the epidemic posing a big challenge for epidemic control. Hence, this study aims to explore perceived infection routes, influencing factors, psychosocial changes, and management procedures for COVID-19 infected healthcare workers. Methods This is a cross-sectional, single hospital-based study. We recruited all 105 confirmed COVID-19 healthcare workers in the Zhongnan Hospital of Wuhan University from February 15 to 29, 2020. All participants completed a validated questionnaire. Electronic consent was obtained from all participants. Perceived causes of infection, infection prevention, control knowledge and behaviour, psychological changes, symptoms and treatment were measured. Results Finally, 103 professional staff with COVID-19 finished the questionnaire and was included (response rate: 98.1%). Of them, 87 cases (84.5%) thought they were infected in working environment in hospital, one (1.0%) thought their infection was due to the laboratory environment, and 5 (4.9%) thought they were infected in daily life or community environment. Swab of throat collection and physical examination were the procedures perceived as most likely causing their infection by nurses and doctors respectively. Forty-three (41.8%) thought their infection was related to protective equipment, utilization of common equipment (masks and gloves). The top three first symptoms displayed before diagnosis were fever (41.8%), lethargy (33.0%) and muscle aches (30.1%). After diagnosis, 88.3% staff experienced psychological stress or emotional changes during their isolation period, only 11.7% had almost no emotional changes. Arbidol (Umifenovir; an anti-influza drug; 69.2%) was the drug most commonly used to target infection in mild and moderate symptoms. Conclusion The main perceived mode of transmission was not maintaining protection when working at a close distance and having intimate contact with infected cases. Positive psychological intervention is necessary.","Perceived infection transmission routes, infection control practices, psychosocial changes, and management of COVID-19 infected healthcare workers in a tertiary acute care hospital in Wuhan: a cross-sectional survey","GB",1,"CC BY","CC BY","http://www.biomedcentral.com/about /license ","2054-9369","BMC","EN","Military Medical Research","2020-05-17T12:19:15","Center for Evidence-Based and Translational Medicine, Zhongnan Hospital of Wuhan University",,
,,,,,,"b389ab4832e0409aa7d52376077bf202",1669377330367168510,"2020-05-20T13:16:27","2639-9431","eissn",,"R","LCC","Medicine","Andrei P. Sommer","PDF","fulltext","http://prnano.scholasticahq.com/article/12984-thymoquinone-shield-and-sword-against-sars-cov-2.pdf","Since its emergence, the epidemic scale of the new coronavirus (SARS-CoV-2) has increased at an extraordinary rate. Governments, medical personnel, researchers and companies work at the limit of their capabilities, in attempts to combat the virus. Companies are giving up current projects and change their activities to help fighting the virus. In this difficult time, every piece of useful information is valuable. Here, we bring to the attention of the scientific and medical community thymoquinone (TQ), a substance unknown to experts in western countries, which holds the promise to help treating people infected with this novel virus: (1) by inhibiting its proliferation, (2) by killing it, (3) by killing the bacteria associated with pneumonia, (4) by its anti-inflammatory and (5) immunomodulatory effect – perhaps acting synergistically, or even as a prophylactic remedy to prevent SARS-CoV-2 infection. However, due to the volatility of TQ, bioavailability in infected organs, specifically the lungs, is low. This is where nanomedicine is challenged. Nanocarriers targeting the lungs exist and TQ has already been successfully used in nanomedicines targeting different organs, except the lungs. Thus, there is not a long way to go. It was an anecdotal case report that stimulated the investigation of the therapeutic effect of TQ and the derivation of a mechanism for its dual antiviral action, applicable to Covid-19. Furthermore, by exploiting the material published on the antiviral effect of TQ, we compared the antiviral mechanism of TQ with that of chloroquine (CQ) and hydroxychloroquine (HCQ). Our analysis indicates that the antiviral action of TQ is similar and most likely superior to that of CQ and HCQ, however, apparently without the adverse effects reported for CQ and HCQ. The broad antiviral spectrum and the mechanism by which TQ presumably neutralizes the new virus, justifies the hypothesis that TQ is effective to treat Covid-19.","Thymoquinone: shield and sword against SARS-CoV-2","US",1,"CC BY-NC-SA","CC BY-NC-SA","https://precisionnanomedicine.com/about","2639-9431","Andover House Inc.","EN","Precision Nanomedicine","2020-05-20T14:16:27",,,
,2020,"11",,"4",,"d17a2ea8ec804bde831a52d2bb7cf04a",1669376647809204220,"2020-04-29T13:32:13","1664-0640","eissn","COVID-19","RC435-571","LCC","Psychiatry","Juhong Zhu","HTML","fulltext","https://www.frontiersin.org/article/10.3389/fpsyt.2020.00386/full","BackgroundThe outbreak of novel coronavirus pneumonia (COVID-19) has brought enormous physical and psychological pressure on Chinese medical staff. It is extremely important to understand the prevalence and influencing factors of anxiety and depression symptoms in first-line anti-epidemic medical staff and their coping styles for these negative emotions.MethodsA cross-sectional survey was conducted in Gansu (China), with a questionnaire packet which consisted of the self-rating anxiety scale (SAS), self-rating depression scale (SDS), and the simplified coping style questionnaire (SCSQ). A total of 79 doctors and 86 nurses participated in the survey. Correlation analysis was performed to explore the relationship between SAS, SDS, and SCSQ score. A linear regression model was used to determine the influencing factors for anxiety or depression symptoms.ResultsThe prevalence rates of anxiety and depression symptoms among doctors was 11.4% and 45.6%, respectively. History of depression or anxiety (T=-2.644, p= 0.010, 95%CI: -10.514~-1.481) was shown to be a risk factor for anxiety symptoms in doctors, while being male (T=2.970, p=0.004, 95%CI: 2.667~13.521) was a protective factor for depression. The prevalence rate of anxiety and depression symptoms among nurses was 27.9% and 43.0%, respectively. History of depression or anxiety was a common risk factor for anxiety symptoms (T=-3.635, p=0.000, 95%CI: -16.360~-4.789) and depression symptoms (T=-2.835, p=0.005, 95%CI:-18.238~-3.254) in nurses. The results of partial correlation analysis (controlled for gender and history of depression or anxiety) indicated that the total score of positive coping was negatively correlated with the total score of anxiety (r=-0.182, p=0.002) and depression (r=-0.253, p=0.001).ConclusionsThe first-line anti-epidemic medical staff have high anxiety and depression symptoms and adopting positive coping styles will help to improve their negative emotions.","Prevalence and Influencing Factors of Anxiety and Depression Symptoms in the First-Line Medical Staff Fighting Against COVID-19 in Gansu","CH",1,"CC BY","CC BY","http://journal.frontiersin.org/journal/psychiatry#about","1664-0640","Frontiers Media S.A.","EN","Frontiers in Psychiatry","2020-04-29T14:32:13","Department of Psychiatry, Lanzhou University Second Hospital, Lanzhou, China",1,
,2020,"17","5","3","1679","f678bdd3c24046eba1a7d884b8eea09e",1669376691203473410,"2020-03-13T14:14:04","1660-4601","eissn","2019 novel coronavirus","R","LCC","Medicine","Changyu Fan","pdf","fulltext","https://www.mdpi.com/1660-4601/17/5/1679","After the 2019 novel coronavirus (2019-nCoV) outbreak, we estimated the distribution and scale of more than 5 million migrants residing in Wuhan after they returned to their hometown communities in Hubei Province or other provinces at the end of 2019 by using the data from the 2013&#8722;2018 China Migrants Dynamic Survey (CMDS). We found that the distribution of Wuhan&#8217;s migrants is centred in Hubei Province (approximately 75%) at a provincial level, gradually decreasing in the surrounding provinces in layers, with obvious spatial characteristics of circle layers and echelons. The scale of Wuhan&#8217;s migrants, whose origins in Hubei Province give rise to a gradient reduction from east to west within the province, and account for 66% of Wuhan&#8217;s total migrants, are from the surrounding prefectural-level cities of Wuhan. The distribution comprises 94 districts and counties in Hubei Province, and the cumulative percentage of the top 30 districts and counties exceeds 80%. Wuhan&#8217;s migrants have a large proportion of middle-aged and high-risk individuals. Their social characteristics include nuclear family migration (84%), migration with families of 3&#8722;4 members (71%), a rural household registration (85%), and working or doing business (84%) as the main reason for migration. Using a quasi-experimental analysis framework, we found that the size of Wuhan&#8217;s migrants was highly correlated with the daily number of confirmed cases. Furthermore, we compared the epidemic situation in different regions and found that the number of confirmed cases in some provinces and cities in Hubei Province may be underestimated, while the epidemic situation in some regions has increased rapidly. The results are conducive to monitoring the epidemic prevention and control in various regions.","Prediction of Epidemic Spread of the 2019 Novel Coronavirus Driven by Spring Festival Transportation in China: A Population-Based Study","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/ijerph/about","1661-7827","MDPI AG","EN","International Journal of Environmental Research and Public Health","2020-03-13T14:14:04","School of Sociology, Central China Normal University, Wuhan 430079, Hubei Province, China",1,
,2020,"15","5","0","e0233410","1e3fd27f198443b6846259d5e6cde838",1669377806699593730,"2020-06-06T04:31:55","1932-6203","eissn",,"R","LCC","Medicine","Huiyao Wang",,"fulltext","https://doi.org/10.1371/journal.pone.0233410","As the epidemic outbreak of 2019 coronavirus disease (COVID-19), general population may experience psychological distress. Evidence has suggested that negative coping styles may be related to subsequent mental illness. Therefore, we investigate the general population's psychological distress and coping styles in the early stages of the COVID-19 outbreak. A cross-sectional battery of surveys was conducted from February 1-4, 2020. The Kessler 6 psychological distress scale, the simplified coping style questionnaire and a general information questionnaire were administered on-line to a convenience sample of 1599 in China. A multiple linear regression analysis was performed to identify the influence factors of psychological distress. General population's psychological distress were significant differences based on age, marriage, epidemic contact characteristics, concern with media reports, and perceived impacts of the epidemic outbreak (all p <0.001) except gender (p = 0.316). The population with younger age (F = 102.04), unmarried (t = 15.28), with history of visiting Wuhan in the past month (t = -40.86), with history of epidemics occurring in the community (t = -10.25), more concern with media reports (F = 21.84), perceived more impacts of the epidemic outbreak (changes over living situations, F = 331.71; emotional control, F = 1863.07; epidemic-related dreams, F = 1642.78) and negative coping style (t = 37.41) had higher level of psychological distress. Multivariate analysis found that marriage, epidemic contact characteristics, perceived impacts of the epidemic and coping style were the influence factors of psychological distress (all p <0.001). Epidemic of COVID-19 caused high level of psychological distress. The general mainland Chinese population with unmarried, history of visiting Wuhan in the past month, perceived more impacts of the epidemic and negative coping style had higher level of psychological distress in the early stages of COVID-19 epidemic. Psychological interventions should be implemented early, especially for those general population with such characteristics.","The psychological distress and coping styles in the early stages of the 2019 coronavirus disease (COVID-19) epidemic in the general mainland Chinese population: A web-based survey.","US",1,"CC BY","CC BY","http://journals.plos.org/plosone/s/content-license","1932-6203","Public Library of Science (PLoS)","EN","PLoS ONE","2020-06-04T05:32:05",,1,
,2020,"5","5","May",,"5b0dcf862e4d424fbe585ec24a903dae",1669377738655399940,"2020-06-02T08:00:20","10.1136/bmjgh-2020-002699","doi",,"R5-920","LCC","Medicine (General)","Binta Zahra Diop",,"fulltext","https://gh.bmj.com/content/5/5/e002699.full","Introduction A novel coronavirus disease 2019 (COVID-19) has spread to all regions of the world. There is great uncertainty regarding how countries’ characteristics will affect the spread of the epidemic; to date, there are few studies that attempt to predict the spread of the epidemic in African countries. In this paper, we investigate the role of demographic patterns, urbanisation and comorbidities on the possible trajectories of COVID-19 in Ghana, Kenya and Senegal.Methods We use an augmented deterministic Susceptible-Infected-Recovered model to predict the true spread of the disease, under the containment measures taken so far. We disaggregate the infected compartment into asymptomatic, mildly symptomatic and severely symptomatic to match observed clinical development of COVID-19. We also account for age structures, urbanisation and comorbidities (HIV, tuberculosis, anaemia).Results In our baseline model, we project that the peak of active cases will occur in July, subject to the effectiveness of policy measures. When accounting for the urbanisation, and factoring in comorbidities, the peak may occur between 2 June and 17 June (Ghana), 22 July and 29 August (Kenya) and, finally, 28 May and 15 June (Senegal). Successful containment policies could lead to lower rates of severe infections. While most cases will be mild, we project in the absence of policies further containing the spread, that between 0.78% and 1.03%, 0.61% and 1.22%, and 0.60% and 0.84% of individuals in Ghana, Kenya and Senegal, respectively, may develop severe symptoms at the time of the peak of the epidemic.Conclusion Compared with Europe, Africa’s younger and rural population may modify the severity of the epidemic. The large youth population may lead to more infections but most of these infections will be asymptomatic or mild, and will probably go undetected. The higher prevalence of underlying conditions must be considered.","The relatively young and rural population may limit the spread and severity of COVID-19 in Africa: a modelling study","GB",1,"CC BY-NC","CC BY-NC","http://gh.bmj.com/pages/wp-content/uploads/sites/58/2018/04/BMJGH_licence_2016.pdf","2059-7908","BMJ Publishing Group","EN","BMJ Global Health","2020-05-27T09:41:14",,,
,2020,"45","3","5",,"e623b1b5b13f46bfad23761fdfd5d2de",1669377744134209540,"2020-06-05T15:28:15","1029-3027","eissn","estudiantes de medicina","R","LCC","Medicine","Vladimir Molina-Raad","html","fulltext","http://revzoilomarinello.sld.cu/index.php/zmv/article/view/2260","<p><strong>Background</strong>: the student component in the door-to-door active screening related to COVID-19 is essential for the early detection of positive cases and risk groups.</p><p><strong>Objective</strong>: to characterize the student component in the door-to-door active screening related to COVID-19, in students of the “Dr. Zoilo Enrique Marinello Vidaurreta” Faculty of Medical Sciences, University of Medical Sciences of Las Tunas, from March 23 to April 6, 2020.</p><p><strong>Methods</strong>: a cross-sectional descriptive study was carried out with students of the aforementioned institution and during the period herein declared. The sample was made up of 20 5th-year students majoring in Medicine appointed to a doctor’s office of the health district of “Manuel Fajardo” University Polyclinic of Las Tunas. The data were processed according to descriptive statistics.</p><p><strong>Results</strong>: there was a sex balance in the pair work. Regarding the students’ knowledge, in the taxonomy the selection of COVID-19 as a disease by 11 students prevailed (55 %); whereas only 6 students (30 %) classified SARS-Cov-2 as a new type of coronavirus. The environment of the ecological triad and the hypothesis of the stages of the epidemiological method were the aspects where the students presented the greatest difficulties. The communication media were the main way of knowledge acquisition (80 %). Collectively, professional performance was assessed as good. The population showed a high level of satisfaction.</p><p><strong>Conclusions</strong>: the student component in the door-to-door active screening for COVID-19 was characterized. The student discipline stood out and the insufficiencies in the training to carry out the door-to-door screening were identified.</p>","Characterization of the student component in the door-to-door active screening related to COVID-19","CU",1,"CC BY","CC BY","http://revzoilomarinello.sld.cu/index.php/zmv/about/submissions#copyrightNotice","1029-3027","Universidad de Ciencias Médicas de Las Tunas","ES","Revista Electrónica Dr. Zoilo E. Marinello Vidaurreta","2020-05-27T16:48:52","Universidad de Ciencias Médicas de Las Tunas. Facultad de Ciencias Médicas “Dr. Zoilo Enrique Marinello Vidaurreta”. Las Tunas.",,
"70",2014,"6","3","10","62","f7012ea5014d417aaeb95536cdda1f44",1669377030844579840,"2020-05-18T16:05:18","2072-6732","pissn","acute respiratory diseases","RC109-216","LCC","Infectious and parasitic diseases","N. I. Lvov","html","fulltext","https://journal.niidi.ru/jofin/article/view/341","The objective. To study etiological structure of acute respiratory viral diseases in the hospitalized patients of different age groups and to reveal their peculiarities in children and adults, as well as in adults of draft age (18–26 years) among civilians and military recruits.Materials and methods. 2202 in patients with acute respiratory diseases of moderate and severe degree, including 1123 patients (51.0%) aged up to 18 years and 1079 patients (49,0%) aged 18 years and above, were examined during the epidemic season since September 2013 till July 2014. RNA or DNA of influenza A(H1N1)pdm09 and A(H3N2), influenza B, types 1–4parainfluenza, adenoviruses, respiratory syncytial virus, rino-, metapneumo-, corona-, entero- and boca- viruses were determinedin nasopharyngeal swabs, sputum and brohchoalveolar lavage by real time PCR method. Significance of differences (p&lt;0,05) in cases incidence of compared independent groups were assessed by the Pearson,s ?2 (chi-squared) test.Results. Genetic material of viruses causing ARD was revealed in 1343 cases (61,0%). Influenza viruses A and B (30,3%), RS viruses (23,6%), rinoviruses (22,8%) and adenoviruses (12,5%) prevail among ARD viral pathogens. The parainfluenza virus infection was laboratory confirmed in 8,7%, coronavirus – in 4,4%, bocavirus – in 1,2%, enterovirus – in 0,7% of cases. Assessment of age-related features of ARD etiologic structure showed that RS virus (37,6%, p&lt;0,05) and parainfluenza virus (11,3%, p&lt;0,05) infections were registered significantly often among children. Influenza viruses (46,4%, p&lt;0,05), adenovirus (26,3%, p&lt;0,05) and rinovirus (25,7%, p&lt;0,05) were verified significantly often among adults. Etiologic ARD structure of military personnel 18–26 years old was characterized by significant prevalence of adenovirus infection (53,9%, p&lt;0,05).Conclusion. The study has shown that acute respiratory diseases caused by RS and parainfluenza viruses predominated among children, by influenza viruses – among adults (civilians) and by adenovirus – among military personnel.","The features of ARVD etiological structure in different age and professional population groups in Saint-Petersburg during 2013–2014 epidemic season","RU",1,"CC BY","CC BY","http://journal.niidi.ru/","2072-6732","Journal Infectology","RU","Žurnal Infektologii 	","2016-03-24T17:30:44","Military Medical Academy named after S.M. Kirov, Saint-Petersburg, Russia",,
"8",2020,"16","1","5","1","25c85d002069452cafb25060776843c4",1669376888842223620,"2020-05-10T11:14:25","10.1186/s12917-020-02341-3","doi","Porcine Deltacoronavirus","SF600-1100","LCC","Veterinary medicine","Xiang Gao","HTML","fulltext","http://link.springer.com/article/10.1186/s12917-020-02341-3","Abstract Background Porcine Deltacoronavirus (PDCoV) is a newly emerging Coronavirus that was first identified in 2012 in Hong Kong, China. Since then, PDCoV has subsequently been reported worldwide, causing a high number of neonatal piglet deaths and significant economic losses to the swine industry. Therefore, it is necessary to establish a highly sensitive and specific method for the rapid diagnosis of PDCoV. Results In the present study, a highly sensitive and specific diagnostic method using recombinase polymerase amplification combined with a lateral flow dipstick (LFD-RPA) was developed for rapid and visual detection of PDCoV. The system can be performed under a broad range of temperature conditions from 10 to 37?°C, and the detection of PDCoV can be completed in 10?min at 37?°C. The sensitivity of this assay was 10 times higher than that of conventional PCR with a lower detection limit of 1?×?102 copies/µl of PDCoV. Meanwhile, the LFD-RPA assay specifically amplified PDCoV, while there was no cross-amplification with other swine-associated viruses, including Porcine epidemic diarrhea virus (PEDV), Transmissible gastroenteritis virus (TGEV), Porcine kobuvirus (PKoV), Foot and mouth disease virus (FMDV), Porcine reproductive and respiratory syndrome virus (PRRSV), Porcine circovirus type 2 (PCV2), Classical swine fever virus (CSFV) and Seneca valley virus (SVV). The repeatability of the test results indicated that this assay had good repeatability. In addition, 68 clinical samples (48 fecal swab specimens and 20 intestinal specimens) were further tested by LFD-RPA and RT-PCR assay. The positive rate of LFD-RPA clinical samples was 26.47% higher than that of conventional PCR (23.53%). Conclusions The LFD-RPA assay successfully detected PDCoV in less than 20?min in this study, providing a potentially valuable tool to improve molecular detection for PDCoV and to monitor the outbreak of PDCoV, especially in low-resource areas and laboratories.","Rapid and visual detection of porcine deltacoronavirus by recombinase polymerase amplification combined with a lateral flow dipstick","GB",1,"CC BY","CC BY","http://www.biomedcentral.com/about","1746-6148","BMC","EN","BMC Veterinary Research","2020-05-10T12:14:25","College of Veterinary Medicine, Gansu Agricultural University",1,
,2020,"17","3054","04","3054","1a7bdd41e5ae43b0af9311e6d2b574fe",1669376700420456450,"2020-04-28T23:00:55","10.3390/ijerph17093054","doi","COVID-19","R","LCC","Medicine","Oyelola  A. Adegboye","text/html","fulltext","https://www.mdpi.com/1660-4601/17/9/3054","On 31 December 2019, the World Health Organization (WHO) was notified of a novel coronavirus disease in China that was later named COVID-19. On 11 March 2020, the outbreak of COVID-19 was declared a pandemic. The first instance of the virus in Nigeria was documented on 27 February 2020. This study provides a preliminary epidemiological analysis of the first 45 days of COVID-19 outbreak in Nigeria. We estimated the early transmissibility via time-varying reproduction number based on the Bayesian method that incorporates uncertainty in the distribution of serial interval (time interval between symptoms onset in an infected individual and the infector), and adjusted for disease importation. By 11 April 2020, 318 confirmed cases and 10 deaths from COVID-19 have occurred in Nigeria. At day 45, the exponential growth rate was 0.07 (95% confidence interval (CI): 0.05–0.10) with a doubling time of 9.84 days (95% CI: 7.28–15.18). Separately for imported cases (travel-related) and local cases, the doubling time was 12.88 days and 2.86 days, respectively. Furthermore, we estimated the reproduction number for each day of the outbreak using a three-weekly window while adjusting for imported cases. The estimated reproduction number was 4.98 (95% CrI: 2.65–8.41) at day 22 (19 March 2020), peaking at 5.61 (95% credible interval (CrI): 3.83–7.88) at day 25 (22 March 2020). The median reproduction number over the study period was 2.71 and the latest value on 11 April 2020, was 1.42 (95% CrI: 1.26–1.58). These 45-day estimates suggested that cases of COVID-19 in Nigeria have been remarkably lower than expected and the preparedness to detect needs to be shifted to stop local transmission.","Early Transmission Dynamics of Novel Coronavirus (COVID-19) in Nigeria","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/ijerph/about","1660-4601","MDPI AG","EN","International Journal of Environmental Research and Public Health","2020-04-29T00:00:49","Australian Institute of Tropical Health and Medicine, James Cook University, Townsville 4811, Australia",1,
"333",2020,"13","2","2","326","a47c8d73070b410394b348d7d1295ddf",1669376598409740290,"2020-02-19T14:05:13","10.14202/vetworld.2020.326-333","doi","canine parvovirus","SF1-1100","LCC","Animal culture","Kawther Sayed Zaher",,"fulltext","http://www.veterinaryworld.org/Vol.13/February-2020/14.pdf","Aim: This study aimed to detect and characterize current genotypes of canine parvovirus (CPV) in Egypt during 2018.

Materials and Methods: A total of 50 fecal swabs were collected from clinically infected domestic dogs of 2-5 months of age, suspected to suffer from CPV infection, from Cairo and Giza Governorates. The samples were subjected to qualitative antigen detection using the rapid test, followed by isolation on Madin-Darby Canine Kidney (MDCK) cells, molecular characterization with partial amplification of VP2 gene using polymerase chain reaction (PCR), followed by sequencing and phylogenetic analysis.

Results: Out of 50 fecal samples, 20 samples were positive (40%) by Rapid CPV/canine coronavirus Ag Test Kit. These positive samples were cultured successfully on MDCK cells. Nine randomly chosen samples out of 30 apparently negative samples were amplified using PCR with primers Hfor and Hrev to yield a typical 630 bp fragment. Then, six randomly chosen samples out of nine were amplified using PCR with primers Pbs and Pbas to yield a typical 427 bp fragment. Sequencing, BLAST analysis and assembly of the two fragments (630 bp and 427 bp) to produce 912 bp fragments, in the six samples, revealed two serotypes CPV-2b and CPV-2c. The obtained strains were submitted to GenBank and given accession numbers MK642272, MK642273, MK642274, MK642275, MK642276, and MK642277. Phylogenetic analysis of the Egyptian strains serotype 2b illustrated that they were closely related to Thailand strains (accession numbers KP715709, KP715694, KP715701, and KP715700); while Egyptian strains serotype 2c was closely related to Thailand strains (accession numbers MH711894 and MH711902), Taiwanese strain (KU244254), Chinese strain (MF467242), and Vietnamese strain (accession number LC216910).

Conclusion: The current research recommends further epidemiological studies to assess the extent of the occurrence of different serotypes of CPV in Egypt and the efficiency of imported and locally produced vaccines in protection against CPV infection.","Genotyping and phylogenetic analysis of canine parvovirus circulating in Egypt","IN",1,"CC BY","CC BY","http://veterinaryworld.org/","0972-8988","Veterinary World ","EN","Veterinary World","2020-02-19T14:05:13","Department of Microbiology and Immunology, Veterinary Research Division, National Research Centre, Dokki 12622, Giza, Egypt.",1,
,2020,"21","3626","05","3626","8e704a5e78664ae0aa0ab6909685a2c7",1669377316436836350,"2020-05-21T23:00:11","10.3390/ijms21103626","doi","coronavirus","QH301-705.5","LCC","Biology (General)","André Fischer","text/html","fulltext","https://www.mdpi.com/1422-0067/21/10/3626","The rapid outbreak of the novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in China followed by its spread around the world poses a serious global concern for public health. To this date, no specific drugs or vaccines are available to treat SARS-CoV-2 despite its close relation to the SARS-CoV virus that caused a similar epidemic in 2003. Thus, there remains an urgent need for the identification and development of specific antiviral therapeutics against SARS-CoV-2. To conquer viral infections, the inhibition of proteases essential for proteolytic processing of viral polyproteins is a conventional therapeutic strategy. In order to find novel inhibitors, we computationally screened a compound library of over 606 million compounds for binding at the recently solved crystal structure of the main protease (M<sup>pro</sup>) of SARS-CoV-2. A screening of such a vast chemical space for SARS-CoV-2 M<sup>pro</sup> inhibitors has not been reported before. After shape screening, two docking protocols were applied followed by the determination of molecular descriptors relevant for pharmacokinetics to narrow down the number of initial hits. Next, molecular dynamics simulations were conducted to validate the stability of docked binding modes and comprehensively quantify ligand binding energies. After evaluation of potential off-target binding, we report a list of 12 purchasable compounds, with binding affinity to the target protease that is predicted to be more favorable than that of the cocrystallized peptidomimetic compound. In order to quickly advise ongoing therapeutic intervention for patients, we evaluated approved antiviral drugs and other protease inhibitors to provide a list of nine compounds for drug repurposing. Furthermore, we identified the natural compounds (?)-taxifolin and rhamnetin as potential inhibitors of M<sup>pro</sup>. Rhamnetin is already commercially available in pharmacies.","Potential Inhibitors for Novel Coronavirus Protease Identified by Virtual Screening of 606 Million Compounds","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/ijms/about under Copyright/Open Access section","1422-0067","MDPI AG","EN","International Journal of Molecular Sciences","2020-05-22T00:00:06","Computational Pharmacy, Department of Pharmaceutical Sciences, University of Basel, 4056 Basel, Switzerland",1,
